Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
Looney Tunes: Acme Arsenal,PS2,2007,0,Warner Bros. Interactive Entertainment,0.19,0.15,0,0.05,0.38,38,10,3.9,7,Red Tribe,E10+
Ice Age,GBA,2002,0,Ubisoft,0.27,0.1,0,0.01,0.38,47,11,tbd,,Artificial Mind and Movement,E
Headhunter,PS2,2002,0,Sega,0.19,0.15,0,0.05,0.38,74,24,7.8,19,Amuze,M
Viking: Battle for Asgard,PS3,2008,0,Sega,0.14,0.17,0,0.07,0.38,65,38,7.4,32,Creative Assembly,M
Ninja: Shadow of Darkness,PS,1998,0,Eidos Interactive,0.21,0.14,0,0.02,0.38,,,,,,
Metal Gear Solid: Snake Eater 3D,3DS,2012,0,Konami Digital Entertainment,0.15,0.11,0.1,0.02,0.38,78,46,7.8,167,Kojima Productions,M
Lilo & Stitch 2: Hämsterviel Havoc,GBA,2004,0,Disney Interactive Studios,0.27,0.1,0,0.01,0.38,,,,,,
Mobile Suit Gundam version 2.0,PS,1996,0,Namco Bandai Games,0,0,0.36,0.02,0.38,,,,,,
The Incredible Hulk,PS2,2008,0,Sega,0.32,0.01,0,0.05,0.38,50,4,6,5,Edge of Reality,T
Saints Row: The Third,PC,2011,0,THQ,0.16,0.16,0,0.06,0.38,84,22,8.1,1263,Volition Inc.,M
MediEvil II,PS,1999,0,Sony Computer Entertainment,0.21,0.14,0,0.02,0.38,,,,,,
Hunter: The Reckoning,XB,2002,0,Interplay,0.28,0.08,0,0.01,0.38,79,28,8.9,20,High Voltage Software,M
Ice Age: Dawn of the Dinosaurs,DS,2009,0,Activision,0.2,0.15,0,0.04,0.38,54,4,tbd,,Activision,E
Iron Man 2,PSP,2010,0,Sega,0.18,0.12,0,0.07,0.38,49,8,tbd,,High Voltage Software,T
Madagascar: Escape 2 Africa,PS2,2008,0,Activision,0.12,0,0,0.26,0.38,56,4,5.8,6,Toys for Bob,E
Gravitar,2600,1982,0,Atari,0.35,0.02,0,0,0.38,,,,,,
LEGO Marvel Super Heroes,DS,2013,0,Warner Bros. Interactive Entertainment,0.22,0.13,0,0.03,0.38,,,4.8,5,TT Games,E10+
Harry Potter and the Prisoner of Azkaban,GC,2004,0,Electronic Arts,0.29,0.08,0,0.01,0.38,67,22,7.3,8,EA Games,E
Skylanders Giants,WiiU,2012,0,Activision,0.22,0.12,0,0.03,0.37,80,8,6.9,22,Vicarious Visions,E10+
Resident Evil Zero,PS4,2016,0,Capcom,0.1,0.17,0.05,0.05,0.37,,,,,,
Scooby-Doo! and the Spooky Swamp,DS,2010,0,Warner Bros. Interactive Entertainment,0.25,0.09,0,0.03,0.37,,,,,,
The Golden Compass,PSP,N/A,0,Sega,0.11,0.16,0,0.1,0.37,28,4,4.1,7,Shiny Entertainment,E10+
Ultimate Spider-Man,GC,2005,0,Activision,0.29,0.07,0,0.01,0.37,76,36,7.2,21,Treyarch,T
LEGO Star Wars III: The Clone Wars,PSP,2011,0,LucasArts,0.14,0.15,0,0.08,0.37,63,4,tbd,,Traveller's Tales,E10+
Rampage: Total Destruction,PS2,2006,0,Midway Games,0.18,0.14,0,0.05,0.37,51,34,7,15,"Pipeworks Software, Inc.",E10+
Spider-Man: Friend or Foe,PS2,2007,0,Activision,0.31,0.01,0,0.05,0.37,62,15,8.3,19,Next Level Games,E10+
Scooby-Doo! Classic Creep Capers,N64,2000,0,THQ,0.3,0.06,0,0,0.37,,,,,,
Dragonfire,2600,1981,0,Imagic,0.35,0.02,0,0,0.37,,,,,,
Prince of Persia: The Forgotten Sands,PSP,2010,0,Ubisoft,0.09,0.18,0.01,0.1,0.37,65,10,7.4,14,Ubisoft Quebec,T
Pac-Man World 2,GC,2002,0,Nintendo,0.28,0.07,0,0.01,0.37,74,18,8.3,19,Namco,E
Tomb Raider: Legend,X360,2006,0,Eidos Interactive,0.27,0.07,0.01,0.03,0.37,80,54,7.3,84,Crystal Dynamics,T
Skylanders: SuperChargers,PS3,2015,0,Activision,0.16,0.15,0,0.06,0.37,,,4.2,6,Vicarious Visions,E10+
Overlord: Dark Legend,Wii,2009,0,Codemasters,0.11,0.22,0,0.04,0.37,68,30,7.9,15,Climax Group,T
Harry Potter and the Order of the Phoenix,PSP,2007,0,Electronic Arts,0.1,0.17,0,0.1,0.37,52,11,7.6,20,EA Games,E10+
Skylanders: Trap Team,XOne,2014,0,Activision,0.26,0.07,0,0.04,0.37,,,,,,
Mini Ninjas,Wii,2009,0,Eidos Interactive,0.16,0.16,0,0.04,0.37,79,9,8.3,12,Io Interactive,E10+
Scribblenauts: Unlimited,WiiU,2012,0,Warner Bros. Interactive Entertainment,0.25,0.09,0,0.03,0.37,73,42,7.4,109,5TH Cell,E10+
Batman: Arkham City,WiiU,2012,0,Warner Bros. Interactive Entertainment,0.16,0.18,0,0.03,0.36,,,,,,
Need for Speed: The Run,PC,2011,0,Electronic Arts,0.09,0.21,0,0.07,0.36,69,18,5.8,338,Black Box,T
SAW,PS3,2009,0,Konami Digital Entertainment,0.13,0.17,0,0.06,0.36,59,41,6.4,28,Zombie Studios,M
Tom Clancy's HAWX 2,X360,2010,0,Ubisoft,0.24,0.09,0.01,0.03,0.36,68,57,6.3,29,Ubisoft,T
Robots,PS2,2005,0,Vivendi Games,0.18,0.14,0,0.05,0.36,53,6,6,8,Eurocom Entertainment Software,E
The Incredibles: Rise of the Underminer,PS2,2005,0,THQ,0.18,0.14,0,0.05,0.36,60,12,7.1,8,Heavy Iron Studios,E10+
Hamtaro: Ham-Ham Heartbreak,GBA,2002,0,Nintendo,0.26,0.1,0,0.01,0.36,72,7,9.3,18,Pax Softonica,E
Mobile Suit Z-Gundam,PS,1997,0,Namco Bandai Games,0,0,0.34,0.02,0.36,,,,,,
Cubix Robots for Everyone: Clash 'n' Bash,GBA,N/A,0,Unknown,0.26,0.1,0,0.01,0.36,,,,,,
NBA 2K6,XB,2005,0,Take-Two Interactive,0.27,0.08,0,0.01,0.36,84,27,8.7,15,Visual Concepts,E
Saban's Power Rangers: Lightspeed Rescue,N64,2000,0,THQ,0.29,0.06,0,0,0.36,,,,,,
Jurassic Park,NES,1993,0,Ocean,0.25,0.1,0,0.01,0.36,,,,,,
Mystical Ninja starring Goemon,N64,1997,0,Konami Digital Entertainment,0.07,0.02,0.23,0.04,0.36,,,,,,
The Chronicles of Narnia: Prince Caspian,Wii,2008,0,Disney Interactive Studios,0.31,0.02,0,0.03,0.36,63,5,7.1,12,Traveller's Tales,T
Spider-Man: Shattered Dimensions,X360,2010,0,Activision,0.24,0.08,0,0.03,0.36,76,68,7.6,96,Beenox,T
TMNT,Wii,2007,0,Ubisoft,0.3,0.03,0,0.03,0.36,60,17,5.9,11,Ubisoft Montreal,E10+
Watch Dogs 2,XOne,2016,0,Ubisoft,0.17,0.16,0,0.03,0.36,83,9,7.7,131,Ubisoft Montreal,M
Frogs And Flies,2600,1981,0,Mattel Interactive,0.33,0.02,0,0,0.36,,,,,,
Harry Potter and the Chamber of Secrets,XB,2002,0,Electronic Arts,0.27,0.08,0,0.01,0.36,77,13,7.2,12,Eurocom Entertainment Software,E
Digging for Dinosaurs,DS,2010,0,Scholastic Inc.,0.33,0,0,0.02,0.36,,,tbd,,CokeM Interactive,E
Thief (2014),PS3,2014,0,Square Enix,0.1,0.17,0.02,0.05,0.35,,,,,,
Blasto,PS,1998,0,Sony Computer Entertainment,0.2,0.13,0,0.02,0.35,,,,,,
Middle-Earth: Shadow of Mordor,PC,2014,0,Warner Bros. Interactive Entertainment,0.12,0.2,0,0.03,0.35,84,17,8,1671,Monolith Productions,M
Sentouchu: Densetsu no Shinobi to Survival Battle!,3DS,2013,0,Namco Bandai Games,0,0,0.35,0,0.35,,,,,,
Disney's Tarzan: Return to the Jungle,GBA,2002,0,Activision,0.25,0.09,0,0.01,0.35,68,8,tbd,,Digital Eclipse,E
Batman: Rise of Sin Tzu,PS2,2003,0,Ubisoft,0.17,0.13,0,0.05,0.35,63,21,8.3,14,Ubisoft Montreal,T
G-Force,PSP,2009,0,Electronic Arts,0.24,0.06,0,0.05,0.35,,,8.8,4,Keen Games,E10+
Dark Void,PS3,2010,0,Capcom,0.18,0.12,0,0.05,0.35,59,50,6,36,Airtight Games,T
Mega Man X3,SNES,1995,0,Laguna,0.04,0.01,0.3,0,0.35,,,,,,
Assassin's Creed III,WiiU,2012,0,Ubisoft,0.19,0.13,0,0.03,0.35,85,26,7.1,216,Ubisoft Quebec,M
Star Wars: Flight of the Falcon,GBA,2003,0,THQ,0.25,0.09,0,0.01,0.35,39,13,5.8,11,Pocket Studios,E
Toukiden: The Age of Demons,PSV,2013,0,Tecmo Koei,0.04,0.04,0.25,0.02,0.35,71,44,8,136,Omega Force,T
Metro: Last Light,X360,2013,0,Deep Silver,0.17,0.15,0,0.03,0.35,80,20,8.4,440,4A Games,
Dragon Ball Z: Budokai Tenkaichi 2 (JP sales),Wii,N/A,0,N/A,0.15,0.05,0.14,0.01,0.35,,,,,,
Resident Evil: Dead Aim,PS2,2003,0,Capcom,0.17,0.13,0,0.04,0.35,65,28,6.6,48,Cavia Inc.,M
The Adventures of Jimmy Neutron Boy Genius: Jet Fusion,GBA,2003,0,THQ,0.25,0.09,0,0.01,0.35,,,tbd,,Helixe,E
FIFA Soccer 13,PSP,2012,0,Electronic Arts,0.05,0.18,0.02,0.09,0.35,,,3.2,19,Electronic Arts,E
Saban's Power Rangers: Lightspeed Rescue,PS,2000,0,THQ,0.19,0.13,0,0.02,0.35,,,,,,
Chicken Shoot,Wii,2007,0,Zoo Digital Publishing,0.32,0,0,0.02,0.35,27,9,4.8,26,Destination Software,E10+
LEGO Marvel's Avengers,XOne,2016,0,Warner Bros. Interactive Entertainment,0.19,0.12,0,0.03,0.35,71,18,5.1,15,TT Games,E10+
Tomb Raider (2013),PC,N/A,0,Square Enix,0.06,0.25,0,0.04,0.35,86,18,8.5,3552,"Crystal Dynamics, Nixxes Software",M
TrackMania Turbo,PS4,2016,0,Ubisoft,0.03,0.26,0,0.05,0.35,81,52,7.9,110,Nadeo,E
Def Jam Icon,X360,2007,0,Electronic Arts,0.3,0.01,0,0.03,0.34,69,48,6.3,108,EA Chicago,M
Dynasty Warriors 5 Empires,PS2,2006,0,Tecmo Koei,0.11,0.09,0.12,0.03,0.34,62,23,9.1,24,Omega Force,T
Transformers: Dark of the Moon,PS3,2011,0,Activision,0.11,0.18,0,0.06,0.34,57,41,5.6,27,High Moon Studios,T
Pirates of the Caribbean: At World's End,DS,2007,0,Disney Interactive Studios,0.3,0.01,0.01,0.03,0.34,66,14,tbd,,Amaze Entertainment,E10+
Mini Ninjas,PS3,2009,0,Eidos Interactive,0.14,0.15,0,0.06,0.34,73,37,8.7,62,Io Interactive,E10+
Freeway,2600,1980,0,Activision,0.32,0.02,0,0,0.34,,,,,,
Driver 2 Advance,GBA,2002,0,Atari,0.25,0.09,0,0.01,0.34,73,9,6.6,14,Sennari Interactive,T
Mini Ninjas,DS,2009,0,Eidos Interactive,0.16,0.15,0,0.04,0.34,61,10,5.8,4,Magic Pockets,E10+
Frostbite,2600,1983,0,Activision,0.32,0.02,0,0,0.34,,,,,,
Alien's Return,2600,1982,0,ITT Family Games,0.32,0.02,0,0,0.34,,,,,,
Mario & Sonic at the Rio 2016 Olympic Games,WiiU,2016,0,Nintendo,0.07,0.14,0.11,0.02,0.34,,,,,,
Avatar: The Last Airbender - The Burning Earth,DS,2007,0,THQ,0.31,0,0,0.03,0.34,,,,,,
Fantastic Voyage,2600,1981,0,20th Century Fox Video Games,0.32,0.02,0,0,0.34,,,,,,
SpongeBob SquarePants: The Yellow Avenger,DS,2005,0,THQ,0.31,0,0,0.02,0.34,67,5,7.6,10,Tantatus,E
Tenchu Z,X360,2006,0,Microsoft Game Studios,0.27,0.02,0.02,0.03,0.34,56,51,7.3,58,K2 LLC,M
Bank Heist,2600,1982,0,20th Century Fox Video Games,0.32,0.02,0,0,0.34,,,,,,
Conan,PS3,2007,0,THQ,0.13,0.15,0,0.05,0.34,69,35,7.2,40,Nihilistic,M
Disney Infinity 3.0,XOne,2015,0,Disney Interactive Studios,0.2,0.11,0,0.03,0.34,,,,,,
Tiny Tank,PS,1998,0,Sony Computer Entertainment,0.19,0.13,0,0.02,0.34,,,,,,
Teenage Mutant Ninja Turtles,GC,2003,0,Konami Digital Entertainment,0.26,0.07,0,0.01,0.34,57,25,8,8,Konami,E
Kameo: Elements of Power,X360,2005,0,Microsoft Game Studios,0.28,0.03,0,0.03,0.34,79,76,8.1,107,Rare Ltd.,T
Dynasty Warriors 6 Empires,PS3,2009,0,Tecmo Koei,0.14,0.03,0.15,0.02,0.34,62,22,7,26,Omega Force,T
Dynasty Warriors: Gundam 2,PS2,2008,0,Namco Bandai Games,0.04,0.03,0.25,0.01,0.34,52,8,6.5,8,Omega Force,T
Fade to Black,PS,1996,0,Electronic Arts,0.19,0.13,0,0.02,0.34,,,,,,
Disney Magic World 2,3DS,2015,0,Nintendo,0.02,0.11,0.19,0.01,0.34,,,,,,
Pirates of the Caribbean: At World's End,X360,2007,0,Disney Interactive Studios,0.29,0.02,0,0.03,0.34,58,42,5.3,21,Eurocom Entertainment Software,T
Sengoku Musou 3 Z,PS3,2011,0,Ackkstudios,0,0,0.33,0,0.33,,,,,,
Iron Man 2,DS,2010,0,Sega,0.14,0.16,0,0.03,0.33,54,7,tbd,,Sega Studios San Francisco,E10+
Transformers: Revenge of the Fallen (DS Versions),DS,2009,0,Activision,0.17,0.13,0,0.03,0.33,,,,,,
Deathtrap Dungeon,PS,1998,0,Eidos Interactive,0.19,0.13,0,0.02,0.33,,,,,,
Night at the Museum: Battle of the Smithsonian,DS,2009,0,Majesco Entertainment,0.12,0.18,0,0.04,0.33,,,tbd,,Fizz Factor,E
Harry Potter and the Deathly Hallows - Part 2,X360,2011,0,Electronic Arts,0.19,0.11,0,0.03,0.33,44,31,5.4,24,EA Bright Light,T
Hulk,XB,2003,0,Universal Interactive,0.25,0.07,0,0.01,0.33,69,25,7.7,9,Radical Entertainment,T
Disney's Treasure Planet,PS2,2002,0,Sony Computer Entertainment,0.16,0.13,0,0.04,0.33,,,tbd,,Bizarre Creations,E
Ninja Blade,X360,2009,0,Microsoft Game Studios,0.14,0.14,0.02,0.03,0.33,68,65,6.8,55,From Software,M
LEGO Batman 2: DC Super Heroes,PSV,2012,0,Warner Bros. Interactive Entertainment,0.16,0.11,0,0.06,0.33,62,9,6.7,46,TT Games,E10+
Bee Movie Game,Wii,2007,0,Activision,0.3,0.01,0,0.03,0.33,62,16,7.6,7,Smart Bomb Interactive,E
Shrek SuperSlam,GBA,2005,0,Activision,0.24,0.09,0,0.01,0.33,58,4,tbd,,"Amaze Entertainment, Griptonite Games",E10+
LEGO Pirates of the Caribbean: The Video Game,PSP,2011,0,Disney Interactive Studios,0.12,0.13,0,0.08,0.33,67,5,tbd,,Traveller's Tales,E10+
Scooby-Doo! First Frights,PS2,2009,0,Warner Bros. Interactive Entertainment,0.14,0.03,0,0.16,0.33,,,,,,
Way of the Samurai 2,PS2,2003,0,Capcom,0.05,0.04,0.23,0.01,0.33,59,32,9,24,Acquire,M
BattleTanx,N64,1998,0,3DO,0.26,0.06,0,0,0.33,,,,,,
Naruto: Rise of a Ninja,X360,2007,0,Ubisoft,0.29,0.01,0,0.03,0.33,78,35,8.6,84,Ubisoft Montreal,T
Night at the Museum: Battle of the Smithsonian,Wii,2009,0,Majesco Entertainment,0.17,0.13,0,0.03,0.33,54,8,tbd,,"Pipeworks Software, Inc.",E10+
Harry Potter and the Deathly Hallows - Part 2,Wii,2011,0,Electronic Arts,0.17,0.13,0,0.03,0.33,47,6,6.6,5,EA Bright Light,T
Medal of Honor: Warfighter,PC,2012,0,Electronic Arts,0.14,0.15,0,0.04,0.33,55,30,5.4,599,Danger Close,M
Harry Potter and the Half-Blood Prince,PS3,2009,0,Electronic Arts,0.15,0.12,0,0.05,0.33,66,35,7.1,17,EA Bright Light,E10+
Samurai Warriors 2: Xtreme Legends (JP sales),PS2,2007,0,Tecmo Koei,0,0,0.33,0,0.33,,,,,,
Teen Titans,GC,2006,0,THQ,0.25,0.07,0,0.01,0.33,63,11,6.9,11,Artificial Mind and Movement,E10+
Frogger II: Threeedeep!,2600,1983,0,Parker Bros.,0.31,0.02,0,0,0.33,,,,,,
Binary Domain,PS3,2012,0,Sega,0.09,0.07,0.14,0.03,0.33,72,33,8.2,179,Sega,M
Fireball,2600,1981,0,Starpath Corp.,0.3,0.02,0,0,0.33,,,,,,
Golden Axe: Beast Rider,X360,2008,0,Sega,0.19,0.11,0,0.03,0.33,45,33,5.8,33,Secret Level,M
Teenage Mutant Ninja Turtles 2: Battle Nexus,GBA,2004,0,Konami Digital Entertainment,0.23,0.09,0,0.01,0.32,65,9,tbd,,Konami,E
Nicktoons: Movin',PS2,2004,0,THQ,0.16,0.12,0,0.04,0.32,,,tbd,,Mass Media,E
Chicken Riot,Wii,2010,0,City Interactive,0.14,0.15,0,0.03,0.32,,,tbd,,City Interactive,T
Iron Man 2,Wii,2010,0,Sega,0.15,0.15,0,0.03,0.32,41,11,4.6,12,High Voltage Software,T
The Adventures of Tintin: The Game,Wii,2011,0,Ubisoft,0.12,0.16,0,0.04,0.32,,,5.7,6,Ubisoft Montpellier,E10+
Elebits,Wii,2006,0,Konami Digital Entertainment,0.22,0.01,0.08,0.02,0.32,75,46,7.4,33,Konami,E
Golden Axe: Beast Rider,PS3,2008,0,Sega,0.13,0.14,0,0.06,0.32,44,30,5.6,23,Secret Level,M
Bratz: Girlz Really Rock,DS,2008,0,THQ,0.18,0.11,0,0.03,0.32,,,tbd,,Blitz Games,E
Remember Me,PS3,2013,0,Capcom,0.1,0.17,0,0.06,0.32,72,37,7.4,424,DONTNOD Entertainment,M
Silent Hill: Downpour,X360,2012,0,Konami Digital Entertainment,0.22,0.08,0,0.02,0.32,68,38,7.3,269,Konami,M
OverBlood,PS,1996,0,Electronic Arts,0.05,0.04,0.21,0.02,0.32,,,,,,
Dead Rising 2: Off the Record,PS3,2011,0,Capcom,0.11,0.08,0.1,0.03,0.32,72,31,7.1,35,Capcom Vancouver,M
Overlord II,X360,2009,0,Codemasters,0.15,0.14,0,0.03,0.32,75,60,7.2,46,Triumph Studios,T
"Go, Diego, Go!: Great Dinosaur Rescue",PS2,2008,0,Take-Two Interactive,0.16,0.12,0,0.04,0.32,,,,,,
Batman: Arkham Asylum,PC,2009,0,Eidos Interactive,0,0.28,0,0.05,0.32,91,29,8.7,1736,Rocksteady Studios,T
Prince of Persia: The Sands of Time,GC,2003,0,Ubisoft,0.25,0.06,0,0.01,0.32,92,33,8.4,41,Ubisoft,T
Harry Potter and the Deathly Hallows - Part 2,PS3,2011,0,Electronic Arts,0.14,0.13,0,0.05,0.32,43,21,5.7,27,EA Bright Light,T
Fortress,GBA,2001,0,Majesco Entertainment,0.23,0.08,0,0.01,0.32,64,15,tbd,,Pipe Dream Interactive,E
Power Rangers Samurai,Wii,2011,0,Namco Bandai Games,0.27,0.02,0,0.02,0.32,45,4,tbd,,Inti Creates,E10+
Silent Hill HD Collection,PS3,2012,0,Konami Digital Entertainment,0.15,0.1,0.03,0.04,0.32,70,33,4.8,136,Hijinx Studios,M
Frankenstein's Monster,2600,1982,0,Data Age,0.3,0.02,0,0,0.32,,,,,,
Murdered: Soul Suspect,PS4,2014,0,Square Enix,0.09,0.16,0.02,0.05,0.32,59,60,6.9,310,Airtight Games,M
Power Rangers Samurai,DS,2011,0,Namco Bandai Games,0.26,0.04,0,0.02,0.32,,,tbd,,Inti Creates,E10+
Power Rangers: Time Force,PS,2001,0,THQ,0.18,0.12,0,0.02,0.32,,,,,,
Phineas and Ferb: Across the 2nd Dimension,PS3,2011,0,Disney Interactive Studios,0.15,0.11,0,0.05,0.32,63,13,6.6,9,High Impact Games,E10+
Dynasty Warriors 4 Empires,PS2,2004,0,Tecmo Koei,0,0,0.32,0,0.32,71,29,8.8,19,Omega Force,T
Crash of the Titans,X360,2007,0,Vivendi Games,0.27,0.02,0,0.02,0.32,65,25,6.3,39,Radical Entertainment,E10+
LEGO Marvel's Avengers,X360,2016,0,Warner Bros. Interactive Entertainment,0.18,0.11,0,0.03,0.32,,,5.7,6,TT Games,E10+
Overlord II,PS3,2009,0,Codemasters,0.11,0.15,0,0.06,0.32,72,42,7.6,24,Triumph Studios,T
Shrek the Third,PSP,2007,0,Activision,0.08,0.15,0,0.09,0.31,57,8,tbd,,Amaze Entertainment,E10+
Batman: Arkham Origins,PC,2013,0,Warner Bros. Interactive Entertainment,0.13,0.16,0,0.02,0.31,74,17,7.5,1170,Iron Galaxy Studios,T
Harry Potter and the Half-Blood Prince,X360,2009,0,Electronic Arts,0.17,0.11,0,0.03,0.31,64,38,6.8,11,EA Bright Light,E10+
Mario Golf,GB,1999,0,Nintendo,0,0,0.31,0,0.31,,,,,,
1001 Touch Games,DS,2011,0,Avanquest,0.11,0.16,0,0.04,0.31,,,tbd,,Avanquest Software,E
The Matrix: Path of Neo,XB,2005,0,Atari,0.23,0.07,0,0.01,0.31,73,39,7.3,20,Shiny Entertainment,T
Mortal Kombat: Shaolin Monks,XB,2005,0,Midway Games,0.23,0.07,0,0.01,0.31,78,37,6.6,19,Midway Studios - Los Angeles,M
Batman: Arkham Origins,WiiU,2013,0,Warner Bros. Interactive Entertainment,0.19,0.09,0,0.03,0.31,68,5,7.4,127,Human Head Studios,T
Taiko Drum Master: Don and Katsu's Space-Time Great Adventure,3DS,2014,0,Namco Bandai Games,0,0,0.31,0,0.31,,,,,,
Sonic Boom: Rise of Lyric,WiiU,2014,0,Sega,0.19,0.09,0,0.03,0.31,32,28,3.6,587,Big Red Button Entertainment,E10+
Metro: Last Light,XOne,2014,0,Deep Silver,0.15,0.13,0,0.03,0.31,,,,,,
Dr. Seuss: How the Grinch Stole Christmas,DS,2007,0,CokeM Interactive,0.29,0,0,0.02,0.31,,,,,,
KISS Pinball,PS,2001,0,Take-Two Interactive,0.17,0.12,0,0.02,0.31,26,7,3.8,8,Wildfire Studios,T
2 Games in 1: Disney's Brother Bear / The Lion King 1 1/2,GBA,2005,0,THQ,0.22,0.08,0,0.01,0.31,,,,,,
Skylanders: SuperChargers,PS4,2015,0,Activision,0.17,0.08,0,0.05,0.31,81,51,3.3,29,Vicarious Visions,E10+
Dark Void,X360,2010,0,Capcom,0.19,0.09,0,0.03,0.31,59,69,6,61,Airtight Games,T
Happy Feet,DS,2006,0,Midway Games,0.27,0.01,0,0.02,0.31,,,0.3,9,Artificial Mind and Movement,E
Manhunt 2,PSP,2007,0,Take-Two Interactive,0.04,0.17,0,0.09,0.31,69,15,8.1,38,Rockstar London,M
Clash of the Titans,PS3,2010,0,Namco Bandai Games,0.09,0.15,0.01,0.05,0.31,41,28,1.7,17,Game Republic,T
Mega Man Battle Network 2,GBA,2002,0,Ubisoft,0.22,0.08,0,0.01,0.31,81,15,9,21,Capcom,E
Mountain King,2600,1982,0,CBS Electronics,0.29,0.02,0,0,0.31,,,,,,
MySims SkyHeroes,DS,2010,0,Electronic Arts,0.2,0.08,0,0.02,0.31,,,tbd,,,
The Incredible Hulk,Wii,2008,0,Sega,0.28,0.01,0,0.02,0.31,46,21,tbd,,Edge of Reality,T
Slot Machine,2600,N/A,0,Atari,0.29,0.02,0,0,0.31,,,,,,
Astroblast,2600,1981,0,Mattel Interactive,0.29,0.02,0,0,0.31,,,,,,
Blade II,PS2,2002,0,Activision,0.15,0.12,0,0.04,0.31,49,21,6.1,14,Mucky Foot Productions,M
TRON: Evolution,X360,2010,0,Disney Interactive Studios,0.24,0.05,0,0.02,0.31,58,51,6,41,Propaganda Games,T
DmC: Devil May Cry,PS4,2015,0,Capcom,0.12,0.13,0,0.05,0.31,,,,,,
Disney's Stitch: Experiment 626,PS2,2002,0,Sony Computer Entertainment,0.15,0.12,0,0.04,0.31,59,17,7.8,4,High Voltage Software,E
Star Wars Episode III: Revenge of the Sith,DS,2005,0,Ubisoft,0.25,0.03,0,0.02,0.3,73,22,7.8,19,Ubisoft,E10+
Ultimate Spider-Man,GBA,2005,0,Activision,0.22,0.08,0,0.01,0.3,62,4,7.3,12,Vicarious Visions,E10+
Monsters vs. Aliens,PS3,2009,0,Activision,0.21,0.05,0,0.04,0.3,66,18,4.5,4,Beenox,E10+
"Army Men World War: Land, Sea, Air",PS,2000,0,3DO,0.17,0.12,0,0.02,0.3,,,,,,
Chaos Legion,PS2,2003,0,Capcom,0.15,0.12,0,0.04,0.3,65,34,8.2,58,Capcom,T
Batman: Arkham VR,PS4,2016,0,Warner Bros. Interactive Entertainment,0.25,0,0,0.06,0.3,75,59,7.3,89,Rocksteady Studios,M
Lego Batman 3: Beyond Gotham,PSV,2014,0,Warner Bros. Interactive Entertainment,0.05,0.19,0,0.07,0.3,,,7.7,12,TT Games,E10+
Tom Clancy's Splinter Cell 3D,3DS,2011,0,Ubisoft,0.14,0.07,0.07,0.02,0.3,53,32,5.5,26,Ubisoft,T
Looney Tunes: Duck Amuck,DS,2007,0,Warner Bros. Interactive Entertainment,0.28,0,0,0.02,0.3,66,16,tbd,,WayForward,E
Yu Yu Hakusho Ghost Files: Spirit Detective,GBA,2003,0,Atari,0.21,0.08,0,0.01,0.3,,,,,,
One Piece Unlimited Cruise SP,3DS,2011,0,Namco Bandai Games,0,0,0.3,0,0.3,46,20,7.3,14,Bandai Namco Games,
Army Men: Air Attack 2,PS,2000,0,3DO,0.17,0.11,0,0.02,0.3,74,8,5.3,4,3DO,T
Dynasty Warriors 8: Xtreme Legends,PS4,2014,0,Tecmo Koei,0.09,0.11,0.06,0.04,0.3,,,,,,
Resident Evil Archives: Resident Evil,Wii,2008,0,Capcom,0.16,0.04,0.08,0.02,0.3,76,11,8.9,41,Capcom,M
Dynasty Warriors 6,X360,2007,0,Tecmo Koei,0.15,0.06,0.06,0.02,0.3,60,42,7.4,22,Omega Force,T
Silent Hill: Shattered Memories,PSP,2010,0,Konami Digital Entertainment,0.09,0.13,0.01,0.07,0.3,73,28,7.5,43,"Climax Group, Climax Studios",M
Finding Nemo: The Continuing Adventures,GBA,2004,0,THQ,0.21,0.08,0,0.01,0.3,,,tbd,,Altron,E
The Suite Life of Zack & Cody: Circle of Spies,DS,2007,0,Disney Interactive Studios,0.17,0.09,0,0.03,0.3,,,,,,
Shark Tale,GC,2004,0,Activision,0.23,0.06,0,0.01,0.3,69,23,tbd,,Edge of Reality,E
Teenage Mutant Ninja Turtles,XB,2003,0,Konami Digital Entertainment,0.22,0.06,0,0.01,0.3,56,22,8.4,9,Konami,E
Lego Star Wars: The Force Awakens,XOne,2016,0,Warner Bros. Interactive Entertainment,0.14,0.13,0,0.02,0.3,76,11,7,18,TT Games,E10+
N3: Ninety-Nine Nights,X360,2006,0,Microsoft Game Studios,0.2,0.02,0.05,0.02,0.3,,,,,,
Shrek the Third,DS,N/A,0,Activision,0.26,0.01,0,0.02,0.3,70,16,6.5,4,Vicarious Visions,E
Sorcery,PS3,2012,0,Sony Computer Entertainment,0.14,0.11,0,0.05,0.29,70,52,7.3,57,The Workshop,E10+
Harry Potter and the Order of the Phoenix,X360,2007,0,Electronic Arts,0.24,0.03,0,0.02,0.29,68,38,6.8,20,EA Games,E10+
Spider-Man: Friend or Foe,X360,2007,0,Activision,0.26,0.01,0,0.02,0.29,60,51,6.3,26,Next Level Games,E10+
Batman: The Brave and the Bold the Videogame,DS,2010,0,Warner Bros. Interactive Entertainment,0.23,0.04,0,0.02,0.29,74,14,8,8,WayForward,E10+
